Tag,en,nl
SHOP,Shop,Winkel
WELCOME_MESSAGE,Welcome!,Welkom!
CHECK_STOCK,Check Stock,Controleer Voorraad
BASKET,Basket,Mand
BUY_STOCK,Buy Stock,Koop aandelen
PURCHASE_HISTORY,Purchase History,Aankoop geschiedenis
RETURN_ITEM,Return Item,Item retourneren
PAYMENT_METHOD,Payment Method,Betalingsmiddel
LOGOUT,Logout,Uitloggen
LANGUAGE,Language,Taal
LOG_OUT_MESSAGE,See you next time!,Tot de volgende keer!
BASKET_MESSAGE,Pick item you would like to buy.,Kies een item dat je zou willen kopen.
BASKET_HEADING,Add to basket,Voeg toe aan winkelmandje
CHECK_STOCK_MESSAGE,Pick item you would like to see information of.,Kies een item waarvan je informatie wilt zien.
CHECK_STOCK_HEADING,Check Stock,Controleer Voorraad
ITEM_NAME,Item Name: ,Itemnaam:
ITEM_PRICE,Price: ,Prijs:
ITEM_DESCRIPTION,Description: ,Omschrijving:
ITEM_QUANTITY_LEFT,Quantity left: ,Hoeveelheid over:
ITEM_INFO_ON,Info on ,Info op
BUYING_MSG1_PT1,There are ,Er zijn
BUYING_MSG1_PT2,s left in stock. How many would you like?,is nog op voorraad. Hoeveel zou je willen?
STOCK,Stock,Voorraad
ENTER_NUM,Please enter a numberic value!,
MUST_BE_ABOVE_ZERO,Error - Amount must be above 0!,
BUYING_MSG2,"You can not buy that much, you can get a maximum of ","Je kunt niet zoveel kopen, je kunt er een maximum van krijgen"
BUYING_MSG3,You cant have that much ,Je kunt niet zoveel hebben
SLOW,Slow,Langzaam
REGULAR,Regular,Regelmatig
PREMIUM,Premium,Premie
BUYING_MSG4,What type of Delivery would you like?,Welk type levering wilt u?
RETURN_MSG1,Pick item you would like to return.,Kies een item dat u wilt retourneren.
RETURN_STOCK,Return Stock,Voorraad terugsturen
RETURN_MSG2,How many?,Hoeveel?
RETURN_MSG3,Error - Please enter a numeric value!,
RETURN_MSG4,Error - Numeric value must be postive!!,
RETURN_MSG5,Which currency would you like to be refunded in? Options are: ,
RETURN_MSG6,is an invalid choice,
INVALID_ENTRY,Invalid entry,
CURRENCY,Currency,
INVALID_CHOICE,Invalid Choice,
GET_TOTAL,Total: ,Totaal:
ITEM,Item,Item
QUANTITY,Quantity,Aantal stuks
PRICE,Price,Prijs
CHECKOUT,Checkout,Uitchecken
UNDO,Undo,Ongedaan maken
PAYMENT_SETUP,Payment Method,Betalingsmiddel
TYPE,Type,Type
PROVIDER,Provider,Leverancier
SUBMIT,Submit,voorleggen
PAYEMENT_ERROR1,Error - No Payment type selected!,Fout - Geen betalingstype geselecteerd!
PAYEMENT_ERROR2,Error - No Payment provider selected!,Fout - Geen betalingsprovider geselecteerd!
DIALOG,Dialog,Dialoog
DISCOUNT,Discount,Korting
DATE,Date,Datum
